"","Month","Year","LocalityName","Region","Years_Since_Exclosure","Composite_Albedo_Diff","Species","Albedo_Diff"
"1",1,2010,"drangedal1","telemark",1,0.0917565779504584,"Spruce",0.00110085599406851
"1.1",1,2010,"drangedal1","telemark",1,0.0917565779504584,"Birch",-0.000163124848932439
"1.2",1,2010,"drangedal1","telemark",1,0.0917565779504584,"Pine",0.000296948961400867
"2",2,2010,"drangedal1","telemark",1,0.0938639394834374,"Spruce",0.001288754450255
"2.1",2,2010,"drangedal1","telemark",1,0.0938639394834374,"Birch",-0.000195030808307739
"2.2",2,2010,"drangedal1","telemark",1,0.0938639394834374,"Pine",0.000354700060695268
"3",3,2010,"drangedal1","telemark",1,0.0924563276478833,"Spruce",0.00132725142886753
"3.1",3,2010,"drangedal1","telemark",1,0.0924563276478833,"Birch",-0.000203548972192713
"3.2",3,2010,"drangedal1","telemark",1,0.0924563276478833,"Pine",0.000367971820939395
"4",4,2010,"drangedal1","telemark",1,0.0291291459213137,"Spruce",0.000581498720571727
"4.1",4,2010,"drangedal1","telemark",1,0.0291291459213137,"Birch",-0.000107601977997834
"4.2",4,2010,"drangedal1","telemark",1,0.0291291459213137,"Pine",0.000166190611396833
"5",5,2010,"drangedal1","telemark",1,0.0290927216873862,"Spruce",0.000454172057278518
"5.1",5,2010,"drangedal1","telemark",1,0.0290927216873862,"Birch",-9.72787595037994e-05
"5.2",5,2010,"drangedal1","telemark",1,0.0290927216873862,"Pine",0.000137641825606494
"6",6,2010,"drangedal1","telemark",1,0.029092722031948,"Spruce",0.000454172057278546
"6.1",6,2010,"drangedal1","telemark",1,0.029092722031948,"Birch",-9.72787595037716e-05
"6.2",6,2010,"drangedal1","telemark",1,0.029092722031948,"Pine",0.000137641825606494
"7",7,2010,"drangedal1","telemark",1,0.0290927220319578,"Spruce",0.000454172057278518
"7.1",7,2010,"drangedal1","telemark",1,0.0290927220319578,"Birch",-9.72787595038271e-05
"7.2",7,2010,"drangedal1","telemark",1,0.0290927220319578,"Pine",0.000137641825606494
"8",8,2010,"drangedal1","telemark",1,0.0290927220319539,"Spruce",0.000454172057278546
"8.1",8,2010,"drangedal1","telemark",1,0.0290927220319539,"Birch",-9.72787595038271e-05
"8.2",8,2010,"drangedal1","telemark",1,0.0290927220319539,"Pine",0.000137641825606494
"9",9,2010,"drangedal1","telemark",1,0.0290927219979954,"Spruce",0.000454172057278546
"9.1",9,2010,"drangedal1","telemark",1,0.0290927219979954,"Birch",-9.72787595037994e-05
"9.2",9,2010,"drangedal1","telemark",1,0.0290927219979954,"Pine",0.000137641825606494
"10",10,2010,"drangedal1","telemark",1,0.0289923492440383,"Spruce",0.00046498393495048
"10.1",10,2010,"drangedal1","telemark",1,0.0289923492440383,"Birch",-9.81236130901397e-05
"10.2",10,2010,"drangedal1","telemark",1,0.0289923492440383,"Pine",0.000140028179523966
"11",11,2010,"drangedal1","telemark",1,0.0531682000944992,"Spruce",0.000723584717916448
"11.1",11,2010,"drangedal1","telemark",1,0.0531682000944992,"Birch",-0.000120243790113383
"11.2",11,2010,"drangedal1","telemark",1,0.0531682000944992,"Pine",0.000199341720322599
"12",12,2010,"drangedal1","telemark",1,0.0907182774689995,"Spruce",0.00104288874538849
"12.1",12,2010,"drangedal1","telemark",1,0.0907182774689995,"Birch",-0.000155243045589393
"12.2",12,2010,"drangedal1","telemark",1,0.0907182774689995,"Pine",0.000280727726340968
"13",1,2010,"drangedal4","telemark",1,0.00406324131348873,"Spruce",-0.0027575476365217
"13.1",1,2010,"drangedal4","telemark",1,0.00406324131348873,"Birch",0.0042814079818641
"13.2",1,2010,"drangedal4","telemark",1,0.00406324131348873,"Pine",0
"14",2,2010,"drangedal4","telemark",1,0.00464672017210982,"Spruce",-0.0030120562100967
"14.1",2,2010,"drangedal4","telemark",1,0.00464672017210982,"Birch",0.00487937800410665
"14.2",2,2010,"drangedal4","telemark",1,0.00464672017210982,"Pine",0
"15",3,2010,"drangedal4","telemark",1,0.00485698767089859,"Spruce",-0.00308212315879319
"15.1",3,2010,"drangedal4","telemark",1,0.00485698767089859,"Birch",0.00509663776113412
"15.2",3,2010,"drangedal4","telemark",1,0.00485698767089859,"Pine",0
"16",4,2010,"drangedal4","telemark",1,0.00316320041871193,"Spruce",-0.00213393765885184
"16.1",4,2010,"drangedal4","telemark",1,0.00316320041871193,"Birch",0.00332779480404866
"16.2",4,2010,"drangedal4","telemark",1,0.00316320041871193,"Pine",0
"17",5,2010,"drangedal4","telemark",1,0.00214628456396207,"Spruce",-0.000998652647846876
"17.1",5,2010,"drangedal4","telemark",1,0.00214628456396207,"Birch",0.00221392128813391
"17.2",5,2010,"drangedal4","telemark",1,0.00214628456396207,"Pine",0
"18",6,2010,"drangedal4","telemark",1,0.00214628456347246,"Spruce",-0.000998652647846876
"18.1",6,2010,"drangedal4","telemark",1,0.00214628456347246,"Birch",0.00221392128813391
"18.2",6,2010,"drangedal4","telemark",1,0.00214628456347246,"Pine",0
"19",7,2010,"drangedal4","telemark",1,0.00214628456347246,"Spruce",-0.000998652647846848
"19.1",7,2010,"drangedal4","telemark",1,0.00214628456347246,"Birch",0.00221392128813391
"19.2",7,2010,"drangedal4","telemark",1,0.00214628456347246,"Pine",0
"20",8,2010,"drangedal4","telemark",1,0.00214628456347249,"Spruce",-0.000998652647846876
"20.1",8,2010,"drangedal4","telemark",1,0.00214628456347249,"Birch",0.00221392128813389
"20.2",8,2010,"drangedal4","telemark",1,0.00214628456347249,"Pine",0
"21",9,2010,"drangedal4","telemark",1,0.00214628456350308,"Spruce",-0.000998652647846876
"21.1",9,2010,"drangedal4","telemark",1,0.00214628456350308,"Birch",0.00221392128813389
"21.2",9,2010,"drangedal4","telemark",1,0.00214628456350308,"Pine",0
"22",10,2010,"drangedal4","telemark",1,0.00218776509637708,"Spruce",-0.00104717208359312
"22.1",10,2010,"drangedal4","telemark",1,0.00218776509637708,"Birch",0.00225329727806006
"22.2",10,2010,"drangedal4","telemark",1,0.00218776509637708,"Pine",0
"23",11,2010,"drangedal4","telemark",1,0.00261652896138176,"Spruce",-0.0015751741501126
"23.1",11,2010,"drangedal4","telemark",1,0.00261652896138176,"Birch",0.00272119274573568
"23.2",11,2010,"drangedal4","telemark",1,0.00261652896138176,"Pine",0
"24",12,2010,"drangedal4","telemark",1,0.0031694150814745,"Spruce",-0.00217017287232241
"24.1",12,2010,"drangedal4","telemark",1,0.0031694150814745,"Birch",0.00337291475512969
"24.2",12,2010,"drangedal4","telemark",1,0.0031694150814745,"Pine",0
"25",1,2010,"fritsoe1","telemark",1,0.0203296731299075,"Spruce",-0.00404448225964105
"25.1",1,2010,"fritsoe1","telemark",1,0.0203296731299075,"Birch",-0.000129220612639758
"25.2",1,2010,"fritsoe1","telemark",1,0.0203296731299075,"Pine",-0.000167271408060443
"26",2,2010,"fritsoe1","telemark",1,0.0206179746486645,"Spruce",-0.0043063256268403
"26.1",2,2010,"fritsoe1","telemark",1,0.0206179746486645,"Birch",-0.000142292666425847
"26.2",2,2010,"fritsoe1","telemark",1,0.0206179746486645,"Pine",-0.000181221094668005
"27",3,2010,"fritsoe1","telemark",1,0.021484099283253,"Spruce",-0.0044131731427578
"27.1",3,2010,"fritsoe1","telemark",1,0.021484099283253,"Birch",-0.00014901844864379
"27.2",3,2010,"fritsoe1","telemark",1,0.021484099283253,"Pine",-0.000187511388363648
