"","Treatment","Years_Since_Exclosure","Group","Average_vol_m3_ha","SE"
"1","B",1,"Birch",0.295617567834658,0.0607210642842895
"2","UB",1,"Birch",0.213326192762198,0.0254933087981905
"3","B",2,"Birch",0.363360871649507,0.054695870300621
"4","UB",2,"Birch",0.370855342648936,0.0361214820442009
"5","B",3,"Birch",0.393296320373483,0.0433328110658239
"6","UB",3,"Birch",0.720894325112969,0.0664243753226958
"7","B",4,"Birch",0.512825023574036,0.058390608079743
"8","UB",4,"Birch",1.16045246904087,0.108352480460285
"9","B",5,"Birch",0.635729756421766,0.0631968607178605
"10","UB",5,"Birch",1.79318611167602,0.176792679915679
"11","B",6,"Birch",0.738767121694495,0.0728464641423262
"12","UB",6,"Birch",2.48776168067835,0.234437406391472
"13","B",7,"Birch",0.824202899801945,0.0702640868982301
"14","UB",7,"Birch",2.81748041244413,0.235309454361717
"15","B",8,"Birch",2.25129524547909,0.310175133927236
"16","UB",8,"Birch",5.61704897174895,0.598773082975078
"17","B",9,"Birch",2.79720280225423,0.409361318030593
"18","UB",9,"Birch",6.17718947588987,0.760465452571481
"19","B",10,"Birch",4.01847211453679,0.657695885943863
"20","UB",10,"Birch",9.49604302636875,1.2862800975503
"21","B",11,"Birch",4.19032900031338,0.602219148214162
"22","UB",11,"Birch",9.44034726656661,1.2811692048906
"23","B",1,"Pine",0.294943011744693,0.0557824335348533
"24","UB",1,"Pine",0.1480308914559,0.0285463670751321
"25","B",2,"Pine",0.524696462942043,0.111615132301666
"26","UB",2,"Pine",0.336258469128948,0.102862634777087
"27","B",3,"Pine",0.956805642584253,0.173610635017527
"28","UB",3,"Pine",0.51161795974264,0.112661588240641
"29","B",4,"Pine",1.23652492970516,0.213048769635506
"30","UB",4,"Pine",0.694959409425756,0.12954412312963
"31","B",5,"Pine",1.75670526447576,0.27605029221891
"32","UB",5,"Pine",1.10778052505423,0.176479200802795
"33","B",6,"Pine",2.42669856380648,0.364722286519304
"34","UB",6,"Pine",1.37298651825347,0.191832300873753
"35","B",7,"Pine",3.19431062694925,0.444227777251067
"36","UB",7,"Pine",2.019684459807,0.282167000620009
"37","B",8,"Pine",4.195105181702,0.514394156731521
"38","UB",8,"Pine",2.97870778838638,0.380849616688651
"39","B",9,"Pine",4.08341643091968,0.530120161203533
"40","UB",9,"Pine",3.1728571197429,0.462749829632994
"41","B",10,"Pine",2.03600966780903,0.514716907019018
"42","UB",10,"Pine",3.93155244617725,0.874906436584645
"43","B",11,"Pine",2.22712070092932,0.483984099074361
"44","UB",11,"Pine",4.85237860647868,1.08520894261257
"45","B",1,"Spruce",0.872946797886705,0.218194116772407
"46","UB",1,"Spruce",1.42449491822597,0.311709521430649
"47","B",2,"Spruce",1.01402203730767,0.206360706152658
"48","UB",2,"Spruce",1.43264594804656,0.228948989671011
"49","B",3,"Spruce",1.37630865324514,0.193911560374228
"50","UB",3,"Spruce",2.00116594974356,0.275837445731765
"51","B",4,"Spruce",1.87931079681146,0.230987665805345
"52","UB",4,"Spruce",3.06698591789657,0.306723053338352
"53","B",5,"Spruce",2.62766923218688,0.303317628548264
"54","UB",5,"Spruce",3.84271307436787,0.363366234150151
"55","B",6,"Spruce",3.91185612516551,0.476021787104247
"56","UB",6,"Spruce",5.20234812675941,0.458645760637453
"57","B",7,"Spruce",4.62918238545157,0.476793341124073
"58","UB",7,"Spruce",6.10928496176507,0.516051300882179
"59","B",8,"Spruce",6.37042037714368,0.652114073737219
"60","UB",8,"Spruce",7.48276785272445,0.630439287443494
"61","B",9,"Spruce",6.72353328046575,0.702271905744032
"62","UB",9,"Spruce",7.39845115699266,0.651188212926721
"63","B",10,"Spruce",10.6877009240898,1.24576446517096
"64","UB",10,"Spruce",9.60051980166527,0.981192212032269
"65","B",11,"Spruce",11.3600487830917,1.20188108872343
"66","UB",11,"Spruce",8.98386658277067,0.948624952268857
